Id,District Name,Neighborhood Name,Street,Weekday,Month,Day,Hour,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved,Longitude,Latitude
2017S009278,Horta-Guinardó,Montbau,Vall d'Hebron,Thursday,November,9,20,Afternoon,1,0,1,2,2.147141,41.435727
2017S002527,Horta-Guinardó,la Vall d'Hebron,Av Can Marcet,Wednesday,March,29,20,Afternoon,1,0,1,2,2.151742,41.434018
2017S000778,Horta-Guinardó,la Clota,Lisboa,Sunday,January,29,18,Afternoon,0,0,0,3,2.154408,41.42803
2017S008848,Horta-Guinardó,la Vall d'Hebron,Dalt (Besòs),Tuesday,October,24,20,Afternoon,0,0,0,2,2.143671,41.428098
2017S009058,Horta-Guinardó,la Vall d'Hebron,Vall d'Hebron,Thursday,November,2,19,Afternoon,1,0,1,2,2.143271,41.425634
2017S006428,Horta-Guinardó,la Vall d'Hebron,B-20 (Llobregat),Sunday,July,23,11,Morning,1,0,1,2,2.143933,41.42803
2017S006351,Horta-Guinardó,la Vall d'Hebron,Dalt (Besòs),Thursday,July,20,15,Afternoon,1,0,1,2,2.145629,41.432369
2017S006378,Horta-Guinardó,la Vall d'Hebron,Can Marcet,Friday,July,21,11,Morning,1,0,1,2,2.151281,41.434829
2017S005138,Horta-Guinardó,la Vall d'Hebron,Vall d'Hebron / Arquitectura,Monday,June,12,12,Morning,1,0,1,2,2.144603,41.429662
2017S008574,Horta-Guinardó,la Vall d'Hebron,B-20 (Besòs),Wednesday,October,18,8,Morning,1,0,1,2,2.144012,41.428075
2017S007628,Horta-Guinardó,la Vall d'Hebron,B-20 (Besòs),Friday,September,15,8,Morning,2,0,2,3,2.145629,41.432369
2017S002438,Horta-Guinardó,la Vall d'Hebron,Rda Dalt(Llobregat,Monday,March,27,7,Morning,2,0,2,4,2.143933,41.42803
2017S000688,Horta-Guinardó,Horta,Campoamor / Sant Gaudenci,Thursday,January,26,11,Morning,1,0,1,2,2.1564400000000004,41.433838
2017S004842,Horta-Guinardó,Horta,Lloret de Mar,Wednesday,May,31,18,Afternoon,1,0,1,2,2.157807,41.436275
2017S000513,Horta-Guinardó,Horta,Feliu I Codina / Hedilla,Thursday,January,19,12,Morning,1,0,1,1,2.162359,41.435248
2017S002201,Horta-Guinardó,Horta,Av Estatut Catalun,Sunday,March,19,16,Afternoon,5,0,5,3,2.153019,41.436336
2017S003169,Horta-Guinardó,Horta,Campoamor / Venècia,Wednesday,April,5,17,Afternoon,1,0,1,1,2.15457,41.434961
2017S006279,Horta-Guinardó,Horta,Estatut de Catalunya / Església,Sunday,July,16,20,Afternoon,1,0,1,1,2.153161,41.434843
2017S001116,Horta-Guinardó,Horta,Ctra B-20 (Besòs),Friday,February,10,11,Morning,1,0,1,2,2.159523,41.439753
2017S007078,Horta-Guinardó,la Font d'en Fargues,Carmel,Saturday,August,19,12,Morning,2,0,2,1,2.1584659999999998,41.422013
2017S005112,Horta-Guinardó,Horta,Dalt (Llobregat),Sunday,June,11,6,Morning,2,0,2,2,2.153873,41.438327
2017S004762,Horta-Guinardó,Horta,Universal / Font d'en Quintana,Tuesday,May,30,19,Afternoon,0,0,0,2,2.1613029999999998,41.437691
2017S008914,Horta-Guinardó,Horta,Dalt (Besòs),Friday,October,27,21,Afternoon,1,0,1,3,2.159523,41.439753
2017S001104,Horta-Guinardó,Horta,Pedrell / Marí,Thursday,February,9,19,Afternoon,1,0,1,2,2.1607819999999998,41.423640999999996
2017S005041,Horta-Guinardó,Can Baró,Carmel / Albert Llanas,Friday,June,9,8,Morning,1,0,1,1,2.1566419999999997,41.416689
2017S003088,Horta-Guinardó,Can Baró,Mare de Déu de Montserrat / Francesc Alegre,Monday,April,3,21,Afternoon,2,0,2,2,2.167282,41.415454
2017S001411,Horta-Guinardó,Can Baró,Ctra Carmel,Monday,February,20,15,Afternoon,1,0,1,1,2.156128,41.415174
2017S008337,Horta-Guinardó,El Carmel,Doctor Bové,Monday,October,9,20,Afternoon,2,0,2,1,2.1604490000000003,41.420645
2017S000190,Horta-Guinardó,Horta,Llobregós,Monday,January,9,12,Morning,1,0,1,2,2.158831,41.425921
2017S005891,Horta-Guinardó,Horta,Maragall,Thursday,July,6,14,Afternoon,1,0,1,2,2.163399,41.428095
2017S000926,Horta-Guinardó,Horta,Tajo,Friday,February,3,13,Morning,1,0,1,2,2.1613700000000002,41.429462
2017S003270,Horta-Guinardó,Horta,Dante Alighieri,Sunday,April,9,20,Afternoon,1,0,1,2,2.159396,41.428204
2017S000094,Horta-Guinardó,Horta,Tajo / Bda Mercat,Wednesday,January,4,22,Night,1,0,1,2,2.160658,41.429621999999995
2017S002265,Horta-Guinardó,El Carmel,Llobregós,Tuesday,March,21,8,Morning,3,0,3,1,2.152892,41.422626
2017S001508,Horta-Guinardó,El Baix Guinardó,Ramon Rocafull,Thursday,February,23,18,Afternoon,0,0,0,1,2.151986,41.424646
